ImageNumber,ObjectNumber,Metadata_ImageBaseName,Metadata_batch,Metadata_batchpath,Metadata_posNum,Metadata_treatment,Metadata_wellNum,AreaShape_Area,Intensity_IntegratedIntensity_copB2_bgCorr,Intensity_IntegratedIntensity_copB2_saturated_bw
3,20,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,15424,-21.232858497649431,0.0
3,21,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,12730,-17.020180452615023,0.0
3,22,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,13497,-19.461773868650198,0.0
3,23,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,17371,-22.037525657564402,0.0
3,24,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,14590,-16.400088850408792,0.0
3,25,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,13968,-19.026493843644857,0.0
3,26,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,16679,-19.70568835362792,0.0
3,27,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,17170,-22.648295428603888,0.0
3,28,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,15089,-20.34159929677844,0.0
3,29,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,18505,-22.814622264355421,0.0
3,30,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,14785,-18.707311764359474,0.0
3,31,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,16871,-23.984732817858458,0.0
3,32,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,14036,-19.862758830189705,0.0
3,33,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,15976,-18.364103477448225,0.0
3,34,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,18499,-25.851757392287254,0.0
3,35,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,12709,-14.82854662835598,0.0
3,36,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,14381,-18.011009190231562,0.0
3,37,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,5230,-5.4947561658918858,0.0
3,38,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,13264,-16.399933129549026,0.0
3,39,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,14272,-17.893893454223871,0.0
3,40,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,9550,-7.3152723498642445,0.0
3,41,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,18021,-21.780800431966782,0.0
3,42,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,5303,-6.227236270904541,0.0
3,43,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,15864,-22.910500753670931,0.0
3,44,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,3942,-5.1102848760783672,0.0
3,45,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,8015,-6.1862490698695183,0.0
3,46,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,9267,-11.867796789854765,0.0
3,47,Well_Un_001--Unstained_neg9--well_001--W0001--P009--T00000--Z000,Well_Un_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,009,Unstained_neg9,001,16084,-20.079832296818495,0.0
